COLLATION_NAME	CHARACTER_SET_NAME	ID	IS_DEFAULT	IS_COMPILED	SORTLEN
ucs2_lithuanian_ci	ucs2	140		Yes	8
ucs2_slovak_ci	ucs2	141		Yes	8
ucs2_spanish2_ci	ucs2	142		Yes	8
ucs2_roman_ci	ucs2	143		Yes	8
ucs2_persian_ci	ucs2	144		Yes	8
ucs2_esperanto_ci	ucs2	145		Yes	8
ucs2_hungarian_ci	ucs2	146		Yes	8
ucs2_sinhala_ci	ucs2	147		Yes	8
ucs2_german2_ci	ucs2	148		Yes	8
ucs2_croatian_ci	ucs2	149		Yes	8
ucs2_unicode_520_ci	ucs2	150		Yes	8
ucs2_vietnamese_ci	ucs2	151		Yes	8
ucs2_general_mysql500_ci	ucs2	159		Yes	1
cp866_general_ci	cp866	36	Yes	Yes	1
cp866_bin	cp866	68		Yes	1
keybcs2_general_ci	keybcs2	37	Yes	Yes	1
keybcs2_bin	keybcs2	73		Yes	1
macce_general_ci	macce	38	Yes	Yes	1
macce_bin	macce	43		Yes	1
macroman_general_ci	macroman	39	Yes	Yes	1
macroman_bin	macroman	53		Yes	1
cp852_general_ci	cp852	40	Yes	Yes	1
cp852_bin	cp852	81		Yes	1
latin7_estonian_cs	latin7	20		Yes	1
latin7_general_ci	latin7	41	Yes	Yes	1
latin7_general_cs	latin7	42		Yes	1
latin7_bin	latin7	79		Yes	1
utf8mb4_general_ci	utf8mb4	45	Yes	Yes	1
utf8mb4_bin	utf8mb4	46		Yes	1
utf8mb4_unicode_ci	utf8mb4	224		Yes	8
utf8mb4_icelandic_ci	utf8mb4	225		Yes	8
utf8mb4_latvian_ci	utf8mb4	226		Yes	8
utf8mb4_romanian_ci	utf8mb4	227		Yes	8
utf8mb4_slovenian_ci	utf8mb4	228		Yes	8
utf8mb4_polish_ci	utf8mb4	229		Yes	8
utf8mb4_estonian_ci	utf8mb4	230		Yes	8
utf8mb4_spanish_ci	utf8mb4	231		Yes	8
utf8mb4_swedish_ci	utf8mb4	232		Yes	8
utf8mb4_turkish_ci	utf8mb4	233		Yes	8
utf8mb4_czech_ci	utf8mb4	234		Yes	8
utf8mb4_danish_ci	utf8mb4	235		Yes	8
utf8mb4_lithuanian_ci	utf8mb4	236		Yes	8
utf8mb4_slovak_ci	utf8mb4	237		Yes	8
utf8mb4_spanish2_ci	utf8mb4	238		Yes	8
utf8mb4_roman_ci	utf8mb4	239		Yes	8
utf8mb4_persian_ci	utf8mb4	240		Yes	8
utf8mb4_esperanto_ci	utf8mb4	241		Yes	8
utf8mb4_hungarian_ci	utf8mb4	242		Yes	8
utf8mb4_sinhala_ci	utf8mb4	243		Yes	8
utf8mb4_german2_ci	utf8mb4	244		Yes	8
utf8mb4_croatian_ci	utf8mb4	245		Yes	8
utf8mb4_unicode_520_ci	utf8mb4	246		Yes	8
utf8mb4_vietnamese_ci	utf8mb4	247		Yes	8
cp1251_bulgarian_ci	cp1251	14		Yes	1
cp1251_ukrainian_ci	cp1251	23		Yes	1
cp1251_bin	cp1251	50		Yes	1
cp1251_general_ci	cp1251	51	Yes	Yes	1
cp1251_general_cs	cp1251	52		Yes	1
utf16_general_ci	utf16	54	Yes	Yes	1
utf16_bin	utf16	55		Yes	1
utf16_unicode_ci	utf16	101		Yes	8
utf16_icelandic_ci	utf16	102		Yes	8
utf16_latvian_ci	utf16	103		Yes	8
utf16_romanian_ci	utf16	104		Yes	8
utf16_slovenian_ci	utf16	105		Yes	8
utf16_polish_ci	utf16	106		Yes	8
utf16_estonian_ci	utf16	107		Yes	8
utf16_spanish_ci	utf16	108		Yes	8
utf16_swedish_ci	utf16	109		Yes	8
utf16_turkish_ci	utf16	110		Yes	8
utf16_czech_ci	utf16	111		Yes	8
utf16_danish_ci	utf16	112		Yes	8
utf16_lithuanian_ci	utf16	113		Yes	8
utf16_slovak_ci	utf16	114		Yes	8
utf16_spanish2_ci	utf16	115		Yes	8
utf16_roman_ci	utf16	116		Yes	8
utf16_persian_ci	utf16	117		Yes	8
utf16_esperanto_ci	utf16	118		Yes	8
utf16_hungarian_ci	utf16	119		Yes	8
utf16_sinhala_ci	utf16	120		Yes	8
utf16_german2_ci	utf16	121		Yes	8
utf16_croatian_ci	utf16	122		Yes	8
utf16_unicode_520_ci	utf16	123		Yes	8
utf16_vietnamese_ci	utf16	124		Yes	8
utf16le_general_ci	utf16le	56	Yes	Yes	1
utf16le_bin	utf16le	62		Yes	1
cp1256_general_ci	cp1256	57	Yes	Yes	1
cp1256_bin	cp1256	67		Yes	1
cp1257_lithuanian_ci	cp1257	29		Yes	1
cp1257_bin	cp1257	58		Yes	1
cp1257_general_ci	cp1257	59	Yes	Yes	1
utf32_general_ci	utf32	60	Yes	Yes	1
utf32_bin	utf32	61		Yes	1
utf32_unicode_ci	utf32	160		Yes	8
utf32_icelandic_ci	utf32	161		Yes	8
utf32_latvian_ci	utf32	162		Yes	8
utf32_romanian_ci	utf32	163		Yes	8
utf32_slovenian_ci	utf32	164		Yes	8
utf32_polish_ci	utf32	165		Yes	8
utf32_estonian_ci	utf32	166		Yes	8
utf32_spanish_ci	utf32	167		Yes	8
utf32_swedish_ci	utf32	168		Yes	8
utf32_turkish_ci	utf32	169		Yes	8
utf32_czech_ci	utf32	170		Yes	8
utf32_danish_ci	utf32	171		Yes	8
utf32_lithuanian_ci	utf32	172		Yes	8
utf32_slovak_ci	utf32	173		Yes	8
utf32_spanish2_ci	utf32	174		Yes	8
utf32_roman_ci	utf32	175		Yes	8
utf32_persian_ci	utf32	176		Yes	8
utf32_esperanto_ci	utf32	177		Yes	8
utf32_hungarian_ci	utf32	178		Yes	8
utf32_sinhala_ci	utf32	179		Yes	8
utf32_german2_ci	utf32	180		Yes	8
utf32_croatian_ci	utf32	181		Yes	8
utf32_unicode_520_ci	utf32	182		Yes	8
utf32_vietnamese_ci	utf32	183		Yes	8
binary	binary	63	Yes	Yes	1
geostd8_general_ci	geostd8	92	Yes	Yes	1
geostd8_bin	geostd8	93		Yes	1
cp932_japanese_ci	cp932	95	Yes	Yes	1
cp932_bin	cp932	96		Yes	1
eucjpms_japanese_ci	eucjpms	97	Yes	Yes	1
eucjpms_bin	eucjpms	98		Yes	1
gb18030_chinese_ci	gb18030	248	Yes	Yes	2
gb18030_bin	gb18030	249		Yes	1
gb18030_unicode_520_ci	gb18030	250		Yes	8
